Query,Time,Value,Unit
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-01,Infinity,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-02,Infinity,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-06,0.6357981054715113,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-07,1.263412017167382,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-08,0.2565982404692082,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-09,1.557778441325769,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-10,1.7071050642479217,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-11,0.43555828975699784,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-12,6.5284418796372625,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-13,0.9086070559610706,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-14,0.5055537582227974,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-15,0.33618116314976837,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-16,0.694980694980695,ratio
"text=""election"" AND text=""fraud"" AND channel=""MSNBC"" NORMALIZE text=""election"" AND text=""fraud"" AND channel=""FOX""",2020-11-17,1.3520346737298337,ratio
